Наименование  	Фото  	Состав	Цена	Увлажнение	Питание	Восстановление	Поверхностная	Подходит для кудрявых волос	Есть ли в составе силиконы?	Производство	Комментарий (если средство было в пользовании у меня или у многих учениц)
Kaaral  Royal Jelly Cream  Реконструирующая маска для волос с пчелиным маточным молочком		Aqua (water), lauryl alcohol, cetrimonium chloride, myristyl alcohol, royal jelly, parfum (fragrance)*, tetrasodium edta, citric acid, imidazolidiayl urea, methylchloroisothiazolinone, methylisothiazolinone, ci 19140 (acid yellow 23).* hexyl cinnamal, hydroxycitronellal, linalool.	Высокая		+		+	+		ЕС	Для несильных повреждений.
Kaaral  X-real reconstructive conditioner  Восстанавливающий кондиционер с пшеничными протеинами		Aqua (Water), Myristyl Alcohol, Cetrimonium Chloride, Parfum (Fragrance)*, Polyquaternium-7, Royal Jelly, Glycerin, Triticum Vulgare Gluten (Triticum Vulgare (Wheat) Gluten), Citric Acid, Imidazolidinyl Urea, Tetrasodium Edta, Methylchloroisothiazolinone, Methylisothiazolinone. * Hexyl Cinnamal, Benzyl Salicylate	Высокая				+	+		ЕС	Легкость распутывания, смягчение
KAPOUS Бальзам Studio Professional Oliva & Avocado		Aqua (Water), Cetearyl Alcohol, Cetrimonium Chloride, Dipalmytoylethyl Hydroxyethylmonium Methosulfate, Parfum (Fragrance), Methoxy PEG/PPG-7/3 Aminopropyl Dimethicone, Dipropylene Glycol, Triethylene Glycol, Benzyl Alcohol, Propylene Glycol, Sodium Hydroxide, Persea Gratissima Oil (Persea Gratissima (Avocado) Oil), Methylchloroisothiazolinone Methylisothiazolinone, Olea europaea fruit oil (Olea Europaea (Olive) Fruit Oil), Magnesium Chloride, Magnesium Nitrate, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate.	Высокая				+	+		ЕС	Бальзам с легкими пленками на дни облегченного ухода
KAPOUS Бальзам-Кондиционер Ylang Ylang  для волос с эфирным маслом цветка дерева иланг-иланг		Aqua, Cetearyl Alcohol, Myristyl Alcohol, Propylene Glycol, Cetrimonium Chloride, Glycerin, Cyclopentasiloxane, Sodium Pca, Arginine, Aspartic Acid, Cananga Odorata Flower Oil, Sodium Lactate, Alanine, Glycine, Histidine, Isoleucine, Pca, Phenylalanine, Proline, Serine, Threonine, Valine, Dimethiconol, Eucalyptus Globulus Leaf Oil, Phenoxyethanol, Peg-150 Distearate, Citric Acid, Ethylhexyl Glycerin, Parfum, Linalool.	Высокая	+						ЕС	Prodew® 500 (Продью)
KayPro  Phase 3 Botu-cure  Восстанавливающая маска для очень поврежденных и склонных к ломке волос		Aqua (Water), Cetearyl Alcohol, Cetrimonium Chloride, Butyrospermum Parkii Butter (Butyrospermum Parkii (Shea) Butter), Trimethylsilylamodimethicone, Methoxy PEG/PPG – 7/3 Aminopropyl Dimethicone, Parfum (Fragrance), C11-15 Pareth-5, C11-15 Pareth-9, Benzyl Alcohol, Hexyl Cinnamal, Benzyl Benzoate, Linalool, Coumarin, Citric Acid, Hydrolyzed keratin, Methylchloroisothiazolinone, Camellia Oleifera Seed Oil, Pisum sativum (Pea) Peptide, Methylisothiazolinone, Leuconostoc / Radish Root Ferment Filtrate	Высокая		+				+	ЕС	Питание
KENSUKO COLLAGEN  Hair Care  Маска для волос для лишенных объема и тонких волос				+					+	Китай	Увлажнение и пленки, также может быть как пленочный кондиционер.
Kerasys Damage Care Repairing Conditioner Восстанавливающий кондиционер для волос 		Water, Celearyl Alcohol, Stearyl Alcohol, Behentrimonium Chloride, Dimethicone, Argania Spinosa Kernel Oil, Lysine, Histidine, Arginine, Aspartic Acid, Threonine, Serine, Glutamic Acid, Proline, Glycine, Alanine, Valine, Methionine, Isoleucine, Leucine, Tyrosine, Phenylalanine, Cysteine, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Hydrolyzed Rice Protein, Dipropylene Glycol, Caprylyl Glycol, Lactic Acid , Potassium Lactate, Polyglyceryl-2 Stearate, Amodimethicone, Glyceryl Stearate, 1,2-Hexanediol, Glycerin, Fragrance, Geraniol, Hexyl Cinnamal, Limonene	Высокая 	+	 +	 +			 +	Корея	Комбинированная маска с упором на восстановление
Kerasys Oriental Premium Conditioner Бвльзам-ополаскиватель		Water, Cetearyl alcohol, Cyclopentasiloxane, Stearyl alcohol, Stearamidopropyl dimethylamine, Dicaprylyl carbonate, Dimethicone, Ceteardimonium chloride, Propylene glycol, Benzyl alcohol, Glutamic acid, Behenyl alcohol, Amodimethicone, Ceteareth-20, Behentrimonium chloride, Laureth-23, C12-15 Pareth-3, Hydrolyzed wheat protein, Keratin, Hydrolyzed keratin, Panthenol, Panthenyl ethyl ether, Chrysanthemum sibricum extract, Camellia oleifera seed oil, Angelica acutiloba root extract, Cnidium officinate root extract, Punica granatumextract, Bletilla striata root extract, Camellia japonica leaf extract, Panax ginseng root wxtract, Methylchloroisothiazolinone, Methylisothiazolinone, Cl19140, Cl45100, Fragrance.	Высокая 				+		+	Корея	Хорошая закрывашка и средство для распутывания
Kevin.Murphy  Hydrate-Me Rinse  Бальзам для интенсивного увлажнения		Water (Aqua) (Eau), Cetearyl Alcohol, Stearyl Alcohol, Stearalkonium Chloride, Behentrimonium Chloride, Ascorbyl Palmitate, Ascorbic Acid, Tocopherol, Tocopheryl Acetate, Panthenol, Biotin, Pyridoxine HCl, Terminalia Ferdinandiana Fruit Extract, Jojoba Esters, Undaria Pinnatifida Extract, Butyrospermum Parkii (Shea) Butter, Oenothera Biennis (Evening Primrose) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Extract, Arctium Lappa Root Extract, Centella Asiatica Extract, Rosa Canina Fruit Oil, Glycerin, Guar Hydroxypropyltrimonium Chloride, Amodimethicone, Cyclotetrasiloxane, Cyclopentasiloxane, Dimethyl Palmitamine , Polyquaternium-7, Silicone, Quaterniuim-18, Trideceth-6, Trideceth-12, Cetrimonium Chloride, Alcohol Denat., Phenoxyethanol, Chlorphenesin, Sorbic Acid, Benzoic Acid, Potassium Sorbate, Sodium Benzoate, Fragrance (Parfum), Limonene, Benzyl Benzoate	Высокая	+	+				+	ЕС	Увлажненеи, пленки. Можно пробовать как маску
Kisy Kiss my hair Маска питательная 		Water, Cetyl Alcohol, Stearyl Alcohol, Cetrimonium Chloride, Isopropyl Palmitate, Beeswax, Behentrimonium Chloride, Glycerin, Dimethicone, Polyquaternium-7, Panthenol, Parfum, Guar Hydroxypropyltrimonium Chloride, Hydrolyzed Silk, Sodium Pca, Sodium Lactate, Arginine, Aspartic Acid, Pca Alanine, Glycine, Serine, Valine, Isoleucine, Threonine, Proline, Histidine, Phenylalanine, Polyquaternium-37, Propylene Glycol, Benzyl Alcohol, Methylchloroisothiazolinone, Methylisothiazolinone, Lactic Acid	Средняя	+	 +		+		 +	РФ/СНГ	Prodew® 500 (Продью)
KOSA GALI NILSEN Kosa for blonde Маска		Aqua, Behentrimonium Methosulfate, Cetearyl Alcohol,Unsaturated fatty acids, Cholesterol, Neutral lipids, Phospholipids, Retinol, Tocopheryl Acetate, Ergocalciferol, Beeswax, Sorbitan Oleate, Cerebroside,  Cerebroside sulfate, Sphingomyelin, Glycine Soja (Soybean) Oil, Glycolipids, Glycine Soja (Soybean) Sterols, Hydrolyzed Keratin, Keratin Amino Acids, Keratin, Hydrolyzed wheat proteins, Hydrolyzed rye proteins, Hydrolyzed oat proteins, Polyquaternium-10, Coconut oil, Glycerin, Ceratonia silique seed extract, Hydrolyzed soy protein, Zea mays starch,Polyquaternium-16, Polyquaternium-7,18-MEA (C10-40 Isoalkylamidopropylethyldimonium Ethosulfate & Dipropylene Glycol), Butyrospermum Parkii Butter, Panthenol, Bis-Aminopropyl Diglycol Dimaleate, Linseed oil ethyl esters, Retinyl palmitate, Butylated Hydroxytoluene (BHT), Oleic Acid, Linolenic Acid, Stearic Acid, Palmitic Аcid, Sodium benzoate, Potassium sorbate, Guar hydroxylpropyltrimonium chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Fragrance.	Высокая 		 +	 +					18-МЕА
KUNDAL Кондиционер для волос		Water, Cetearyl Alcohol, Stearyl Alcohol, Dimethicone, Behentrimonium Chloride, Cyclopentasiloxane, Propylene Glycol, Amodimethicone, Alcohol, Tocopheryl Acetate, Dimer Dilinoleyl Dimer Dilinoleate, Hydroxyacetophenone, Dipropylene Glycol, Caprylic/Capric Triglyceride, Trehalose, Steartrimonium Chloride, Caprylyl Glycol, C12-14 Sec-Pareth-7, Macadamia Ternifolia Seed Extract, Honey Extract, Betaine, Disodium Edta, Cyclomethicone, Trideceth-10, Butylene Glycol, Arachidyl Alcohol, Panthenol, 1,2-Hexanediol, Cetyl Alcohol, Citric Acid, Brassicamidopropyl Dimethylamine, Dipotassium Glycyrrhizate, Calendula Officinalis Flower Oil, Cocos Nucifera (Coconut) Oil, Persea Gratissima (Avocado) Oil, Argania Spinosa Kernel Oil, Butyrospermum Parkii (Shea) Butter, Prunus Armeniaca (Apricot) Kernel Oil, Sclerocarya Birrea Seed Oil, Silk Amino Acids, Cyclohexasiloxane, Hydrolyzed Soy Protein, Hydrolyzed Collagen, Hydrolyzed Keratin, Hydrolyzed Silk, Glycerin, Polygonum Multiflorum Root Extract, Angelica Gigas Root Extract, Asarum Sieboldi Root Extract, Portulaca Oleracea Extract, Thuja Orientalis Leaf Extract, Lycium Chinense Fruit Extract, Sophora Angustifolia Root Extract, Nelumbo Nucifera Flower Extract, Prunus Serrulata Flower Extract, Salvia Officinalis (Sage) Extract, Camellia Japonica Flower Extract, Propolis Extract, Acorus Calamus Root Extract, Malpighia Emarginata (Acerola) Fruit Extract, Euterpe Oleracea Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Prunus Serotina (Wild Cherry) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Adansonia Digitata Seed Extract, Moringa Oleifera Seed Extract, Laminaria Japonica Extract, Carthamus Tinctorius (Safflower) Flower Extract, Ginkgo Biloba Leaf Extract, Sodium Hyaluronate, Ceratonia Siliqua (Carob) Fruit Extract, Camellia Japonica Leaf Extract, Diospyros Kaki Fruit Extract, Fragrance, Benzyl Benzoate, Citronellol, Limonene, Hexyl Cinnamal, Linalool	Средняя	+	 +		+			Южная Корея	
L'anza  Healing Smooth Glossifying Conditioner  		Water (Aqua), Cetearyl Alcohol, Cyclopentasiloxane, Behentrimonium Chloride, Dimethicone, Keratin Amino Acids, Hydrolyzed Coix Lacryma-jobi Ma-yuen Seed, Garcinia Mangostana Fruit Extract, Butyrospermum Parkii Butter, Bertholletia Excelsa Seed Oil, Helianthus Annuus Seed Extract, Cereus Grandiflorus Extract, Carthamus Tinctorius Seed Oil, Sodium Pca, Magnesium Pca, Zinc Pca, Manganese Pca, Dimethicone Peg-8 Meadowfoamate, Citric Acid, Butylene Glycol, Hexylene Glycol, Glycerin, Steartrimonium Chloride, Quaternium-91, Cetyl Triethylmonium Dimethicone Peg-8 Succinate, Cetrimonium Methosulfate, Cetearylmethicone, Polyether-1, Guar Hydroxypropyltrimonium Chloride, Cetrimonium Chloride, Caprylyl Glycol, Polyquaternium-22, Silicone Quaternium-3, Ethylhexylglycerin, Tridecet-12, Phenoxyethanol, Fragrance (Parfum), Alphaisomethyl Ionone, Coumarin. 	Высокая 		 +	 +			 +	США	Комплексная маска 
L'Oreal Paris Elvital Glycolic Gloss Средство для ополаскивания для блеска волос		ВОДА • ЦЕТЕАРИЛОВЫЙ СПИРТ • КОКАМИДОПРОПИЛ БЕТАИН • БЕГЕНТРИМОНИЯ ХЛОРИД • ПРОПИЛЕНОВЫЙ ГЛИКОЛЬ • АМОДИМЕТИКОН • CI 17200 / RED 33 • CI 19140 / ЖЕЛТЫЙ 5 • COCOS NUCIFERA OIL / COCONUT O IL • НАТРИЯ ХЛОРИД • ГИДРОКСИПРОПИЛГУАР • ГИДРОКСИЦИТРОНЕЛЛАЛЬ • ФЕНОКСИЭТАНОЛ • ППГ-1 ТРИДЕЦЕТ-6 • ЭТАНОЛАМИН • ТРИДЕЦЕТ-6 • ПОЛИКВАТЕРНИУМ-37 • ЛИМОНЕН • ЛИНАЛОЛ • ИЗОПРОПИЛОВЫЙ СПИРТ • ДИКАПРИЛАТ/ДИКАПРАТ ПРОПИЛЕНГЛИКОЛЯ • КАПРИЛИЛГЛИКОЛЬ • СОПОЛИМЕР АКРИЛАТОВ/СТЕАРИЛМЕТАКРИЛАТА • СОРБИТАН ОЛЕАТ • ЦЕТРИМОНИЯ ХЛОРИД • ЛИМОННАЯ КИСЛОТА • ЭДТА • ГЕКСИЛ КОРИЦА • ГЛИКОЛИЕВАЯ КИСЛОТА • ДУХИ/АРОМАТИКА (FIL Z70038579/2).	Высокая				+			ЕС	Средство для ополаскивания и дополнительного блеска
L'Oreal Paris Elseve  "Длина мечты"  Cупербальзам легкое расчесывание для длинных поврежденных волос		Aqua / Water, Cetearyl Alcohol, Stearamidopropyl Dimethylamine, Isopropyl Myristate, Cetyl Esters, Parfum / Fragrance, Helianthus Annuus Seed Oil / Sunflower Seed Oil, Ricinus Communis Seed Oil / Castor Seed Oil, Sodium Chloride, Hydroxycitronellal, Hydrolyzed Wheat Protein, Hydrolyzed Corn Protein, Hydrolyzed Soy Protein, Phenoxyethanol, Limonene, Benzoic Acid, Benzyl Salicylate, Linalool, Benzyl Alcohol, Caprylyl Glycol, Alpha-isomethyl lonone, Tartaric Acid, Geraniol, Citronellol, Coumarin, Hexyl Cinnamal (F.I.L. Z70045916/1).	Средняя					+		ЕС РФ/СНГ	Кудряшкам можно использовать, если нет проблем с завитком
L'Oreal Paris Elseve  "Полное восстановление"  Маска для поврежденных волос		aqua / water , cetearyl alcohol, behentrimonium chloride, cetyl esters, lactic acid, phenoxyethanol, arginine, trideceth-6, chlorhexidine digluconate, limonene, linalool, benzyl alcohol, benzyl salicylate, amodimethicone, isopropyl alcohol, 2-oleamido-1,3-octadecanediol, alpha-isomethyl ionone, serine, geraniol, potassium hydroxide, cetrimonium chloride, citronellol, coumarin, hexyl cinnamal, parfum / fragrance	Средняя	+			+	+		ЕС РФ/СНГ	Можно использовать в качестве пленочного кондиционера 
L'Oreal Paris Elseve Bond repair  Бальзам-ополаскиватель для волос		aqua / water • cetearyl alcohol • glycerin • behentrimonium chloride • dimethicone • bis-cetearyl amodimethicone • cetyl esters• sodium citrate • citric acid • isopropyl alcohol • dicetyldimonium chloride • coco-betaine • hydroxypropyl guar • sodium chloride • hydroxycitronellal • phenoxyethanol • steareth-6 • acetic acid • peg-100 stearate • trideceth-10 • trideceth-3 • trisodium hedta • limonene • candelilla cera / candelilla wax • linalool • isopropyl myristate • amodimethicone • cetrimonium chloride • hexyl cinnamal • parfum / fragrance	Высокая	+					+	ЕС РФ/СНГ	Кислый pH
L'Oreal Paris Elvive  Dream Lengths Rapid Reviver Power Conditioner		AQUA / WATER • CETEARYL ALCOHOL • AMODIMETHICONE • BEHENTRIMONIUM CHLORIDE • CETYL ESTERS • PARFUM / FRAGRANCE • RICINUS COMMUNIS SEED OIL / CASTOR SEED OIL • HYDROXYC I T R O N E L L A L • P H E N O X YET H A N O L • A R G I N I N E • TRIDECETH-6 • CHLORHEXIDINE DIHYDROCHLORIDE • LIMONENE • BENZYL SALICYLATE • LINALOOL • BENZYL ALCOHOL • ISOPROPYL ALCOHOL • ALPHA-ISOMETHYL I O N O N E • G E R A N I O L • C E T R I M O N I U M C H L O R I D E • CITRO N ELLO L • CO U M ARIN • H E X Y L C I N N A M A L . ( F. I . L . C225918/1). 	Высокая				+			ЕС РФ/СНГ	
L'Oreal Paris Elvive  Glycolic Gloss Conditioner		AQUA / WATER • CETEARYL ALCOHOL • BEHENTRIMONIUM CHLORIDE • AMODIMETHICONE • CI 77891 / TITANIUM DIOXIDE • CI 17200 / RED 33 • CI 19140 / YELLOW 5 • MICA • HYDROXYCITRONELLAL • PHENOXYETHANOL • TRIDECETH-6 • LIMONENE • BENZOIC ACID • LINALOOL • ISOPROPYL ALCOHOL • POTASSIUM HYDROXIDE • CETRIMONIUM CHLORIDE • HEXYL CINNAMAL • GLYCOLIC ACID • PARFUM / FRAGRANCE. 	Высокая				+			ЕС РФ/СНГ	
L'Oreal Professionnel Pro Longer 		Aqua / Water / Eau • Cetearyl Alcohol • Amodimethicone • Hydroxypropyl Starch Phosphate • Isopropyl Myristate • Behentrimonium Chloride • Phenoxyethanol • Trideceth-5 • Isopropyl Alcohol • Trideceth-6 • Glycerin • Caprylyl Glycol • Arginine • Panthenol • Rideceth-10 • Lactic Acid • Cetrimonium Chloride • Benzyl Salicylate • Benzyl Alcohol • Linalool • Limonene • Acetic Acid • Hydroxycitronellal • Citronellol • Aminopropyl Triethoxysilane • Alpha-Isomethyl Ionone • Polyquaternium-6 • Tetrasodium Edta • Parfum / Fragrance	Высокая				+		+	ЕС	Хорошая закрывашка и средство для распутывания
L'Oreal Professionnel  Бальзам для волос		AQUA / WATER / EAU • CETEARYL ALCOHOL • BEHENTRIMONIUM CHLORIDE • CETYL ESTERS • AMODIMETHICONE • ISOPROPYL ALCOHOL • NIACINAMIDE • CITRIC ACID • TRIDECETH-6 • LINALOOL • POTASSIUM HYDROXIDE • CHLORHEXIDINE DIGLUCONATE • CETRIMONIUM CHLORIDE • RESVERATROL • BENZYL ALCOHOL • PARFUM / FRAGRANCE. C261708/1. 	Высокая				+			ЕС	
L'Oreal Professionnel  Absolut Repair Gold  Маска для восстановления поврежденных волос		aqua / water / eau • cetearyl alcohol • mica • behentrimonium chloride • amodimethicone • ci 77891 / titanium dioxide • phenoxyethanol • isopropyl alcohol • hydroxyethylcellulose • ci 77491 / iron oxides • propylene glycol • peg-150/decyl alcohol/smdi copolymer • linalool • trideceth-6 • hexyl cinnamal • chlorhexidine digluconate • limonene • citric acid • cetrimonium chloride • chenopodium quinoa seed extract • hydroxypropyltrimonium hydrolyzed wheat protein • parfum / fragrance. c230754/1	Высокая				+	+	+	ЕС	Можно использовать в качестве кондиционера, слабые пленки, кудрям можно пробовать, но только если нет проблем с завитком
L'Oreal Professionnel  Serie Expert Vitamino Color Маска для окрашенных волос 		Aqua / Water / Eau, Hydroxypropyl Starch Phosphate, Quaternium-87, Stearyl Alcohol, Behentrimonium Chloride, Propylene Glycol, Amodimethicone, Phenoxyethanol, Isopropyl Alcohol, Candelilla Cera / Candelilla Wax / Cire De Candelilla, Methylparaben, Trideceth-5, Glycerin, Niacinamide, Trideceth-10, Linalool, Chlorhexidine Dihydrochloride, 2-Oleamido-1, 3-Octadecanediol, Resveratrol, Acetic Acid, Ci 17200 / Red 33, Ci 19140 / Yellow 5, Parfum / Fragrance.	Высокая	+			+			ЕС	
La'dor Hydro LPP Hair Treatment Для сухих и поврежденных волос		Water, Cetearyl Alcohol, Benzyl Alcohol, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Oleyl Alcohol, Daucus Carota Sativa (Carrot) Root Extract, Stearamidopropyl Dimethylamine, Citric Acid, Lactic Acid, Benzophenone-9, Hydrolyzed Collagen, C12-18 Dialkyldimonium Chloride, Panthenol, Benzyl Glycol, Ethylhexylglycerin, Raspberry Ketone, Glycerin, Octyldodeceth-20, Octyldodeceth-16, Fragrance, Benzyl Salicylate, Cinnamyl Alcohol, Citronellol, Geraniol, Hexyl Cinnamal, Hydroxycitronellal	Высокая	+	+			+		Корея	
La'dor Wonder Balm		Water, Hydrolyzed Silk, Cetearyl Alchohol, Butylene Glycol, Propylene Glycol, Glycerin, Behentrimonium Chloride, Dimethicone, Macadamia Ternifolia Seed Oil, Phytantriol, Aloe Barbadensis Leaf Extract, Ceramide NP, Sodium Benzoate, Arginine, Leucine, Tryptophan, Lysine, Isoleucine, Threonine, Methionine, Histidine, Asparagine, Alanine, Proline, Glutamic Acid, Glutamine, Glycine, Valine, Phenylalanine, Aspartic Acid, Tyrosine, Serine, Cystine, Benzyl benzoate, Benzyl Salicylate, Citronellol, Geraniol, Hexyl Cinnamal, Limonene, Linalool, Fragrance	Высокая	+		 +			+	Корея	
La'dor  Herbalism Treatment  Маска для волос на травяной основе с аминокислотами 		 Water, Cetearyl Alcohol, Propylene Glycol, Aminopropyl Dimethicone, C13-15 Alkane, Steartrimonium Chloride, Dimethicone, Cetrimonium Chloride, Cetyl Alcohol, Stearamidopropyl Dimethylamine, C12-14 Sec-Pareth-7, Amodimethicone, Trideceth-12, Camellia Japonica Seed Oil, Vitis Vinifera (Grape) Seed Oil, Argania Spinosa Kernel Oil, Glyceryl Stearate SE, Hydroxyethylcellulose, 1,2-Hexanediol, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Salvia Officinalis (Sage) Leaf Extract, Melissa Officinalis Leaf Extract, Mentha Piperita (Peppermint) Extract, Lavandula Angustifolia (Lavender) Flower Extract, Houttuynia Cordata Extract, Eucalyptus Globulus Leaf Extract, Arginine, Leucine,Tryptophan, Lysine, Isoleucine, Threonine, Methionine, Histidine, Asparagi, Alanine,Proline, Glutamic Acid, Glutamine, Glycine, Valine, Phenylalanine, Aspartic Acid, Tyrosine, Serine, Cystine, Lactic Acid, Polyquaternium-10, PEG-45M, Methylpropanediol, Laurylpyridinium chloride, Allantoin, Benzyl Benzoate, Limonene, Linalool, Fragrance 	Высокая	+	+				+	Корея	
La'dor  Moisture Balancing Conditioner  Бессиликоновый увлажняющий кондиционер для волос		Water, Cetearyl Alcohol, Behentrimonium Chloride, Paraffin, Glycerin, PPG3 Caprylyl Ether, Guar Hydroxypropyltrimonium Chloride, Sodium Benzoate, PEG-2 Dimnea dowfoamamidoethylmonium Methosulfate, Quaternium-80, Hydroxyacetophenone, Ctric Acid, Lavandula Angustifolia (Lavender) Flower Extract, Monarda Didyma Leaf Extract, Mentha Piperta(Peppermint) Leaf Extract, Freesia Refracta Extract, Anthemis Nobilis Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Butylene Glycol, 1,2-Hexanediol, FDC YELLOW NO. 5POM DER(CI 191140), Fragrance, Alpha-Isomethyl lonone, Citronellol, Hexyl Cinnamal	Высокая	+			 +	+	+	Корея	Пленки не сильно утяжеляющие, но на очень тонких волосах может быть тяжеловат. И кудрям можно пробовать, но только если нет проблем с завитком
LAONA LAB  Бустер биоактивный кератин  Высокоактивный концентрированный бустер, строительный материал волос, ресниц, бровей, ногтей		Кератин трехспиральный солюбилизированный 99%, феноксиэтанол, каприлил гликоль.	Высокая			+				РФ/СНГ	SOS-средство. Добавляется в любую маску (лучше без плёнок)
LAONA LAB  Бустер биоактивный коллаген  Концентрат для базовой маски		Коллаген трехспиральный солюбилизированный 99%, феноксиэтанол, каприлил гликоль.	Высокая			+				РФ/СНГ	SOS-средство Добавляется в любую маску (лучше без плёнок)
Lebel Natural Rice Protein Conditioner  Восстанавливающая маска для волос с протеинами риса		Water, honey, cetearyl alcohol, dimethicone, hydrogenated polyisobutene, cetrimonium bromide, stearyl alcohol, oryza sativa (rice) germ oil, hydrolyzed rice protein, steartrimonium chloride, cocamidopropyl betaine, fragrance, citric acid, sodium citrate, propylparaben, methylparaben, alcohol, isopropyl alcohol.	Высокая		+	+			+	Япония	
Lebel  IAU Serum Cream  Аромакрем для волос 		water, cetearyl alcohol, sorbitol, cyclopentasiloxane, behentrimonium chloride, glycerin, dimethicone, ppg-9 diglyceryl ether, plukenetia volubilis seed oil, dihydroxypropyl arginine hcl, arginine, polyquaternium-107, ceramide 2, ceramide 3, cholesterol, quaternium 33, distearyldimonium chloride, steartrimonium bromide, steartrimonium, butyrospermum parkii (shea butter), bis-ethoxydiglycol cyclohexane 1,4-dicarboxylate, dipentaerythrityl hexahydroxystearate/hexastearate/hexarosinate, amodimethicone, dimethiconol, peg-115m, c12-14 pareth-12, quaternium 18, ceteth-20, dicocodimonium chloride, steartrimonium chloride, fragrance, lactic acid, methylparaben, propylparaben, phenoxyethanol, sodium benzoate, alcohol, isopropyl alcohol, butylene glycol, propylene glycol, caramel	Высокая	+	+	+			+	Япония	Комплексная маска с сложными липидами, пленки есть. Очень оценили блондинки и все с повреждёнными волосами 
Lebel  Proedit Care  Works Soft Fit Plus 2  Маска для жестких, непослушных/очень поврежденных волос 		water, dimethicone, cetearyl alcohol, sorbitol, betaine, ppg-25 butyl ether phosphate, behentrimonium chloride, phytosteryl/octyldodecyl lauroyl glutamate, dicocoylethyl hydroxyethylmonium methosulfate, guar hydroxypropyltrimonium chloride, amodimethicone, polyglutamic acid, kou-cha ekisu, propylene glycol, tocopherol, isononyl isononanoate, dimethiconol, steartrimonium chloride, fragrance, aminomethyl propanol, citric acid, sodium citrate, bht, di sodium edta, propylparaben, methylparaben, phenoxyethanol, alcohol, isopropyl alcohol	Высокая	+					+	Япония	Можно использовать и в качестве кондиционера, пленки есть.
Lebel  Proedit Care  Works Treatment Bounce Fit   Маска для мягких/поврежденных волос 		water, cetyl alcohol, glycerin, cyclomethicone, betaine, dimethicone, behentrimonium chloride, hydrolyzed rice protein, phytosteryl oleate, stearamidopropyl dimethylamine, kou-cha ekisu, mineral oil, aminopropyl dimethicone, cetrimonium chloride, tocopherol, butylene glycol, fragrance, lactic acid, di sodium edta, propylparaben, methylparaben, phenoxyethanol, alcohol.	Высокая	+		+			+	Япония	Можно использовать и в качестве кондиционера, пленки есть. Протеин риса - очень качественное сырье
Light Bio Argan Conditioner  Бальзам для волос с био маслом Арганы 		aqua, myristyi alcohol, cetrimonium chloride, amodimemethicone, imidazolidinyl urea, parfum, limonene,benzyi benzoate, citric acid, trideceth-10, argania spinosa kernel oil, cl 47005, methylchloroisothiazolinone, methylisothiazolinone, cl 16035	Высокая 				+			ЕС	
Likato Professional  AQUATIKA  Бальзам для волос профессиональный, женский, увлажняющий		Aqua, Cetearyl Alcohol, Dipalmitoylethyl Hydroxyethylmonium Methosulfate, Ceteareth-20, Caprylic/Capric Triglycerides, Cetrimonium Chloride, Bis (C13-15 Alkoxy) PG Amodimethicone, Macadamia Ternifolia Seed Oil (масло макадамии), Aloe Barbadensis Leaf Juice (сок алоэ вера), Allantoin (аллантоин), Inulin (инулин), Parfum, Hyaluronic Acid (гиалуроновая кислота), Polyquaternium-44, Guar Hydroxypropyltrimonium Chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Citric Acid	Средняя	+	+			+	+	РФ/СНГ	Можно использовать и в качестве маски, легкие пленки, кудрям можно пробовать, но только если нет проблем с завитком
